,Αλλεργίες AI,ΠΙΘΑΝΕΣ ΔΙΟΡΘΩΣΕΙΣ/ΠΡΟΣΘΗΚΕΣ (FITPAL),IOUSTINOS COLUMN / DO NOT TOUCH
Ανθότυρο,Milk,,Milk
Αντζούγια,Fish,,Fish
Αντίδια,-,,-
Αρακάς,-,,-
Άρωμα ροδάκινο,-,,-
Αρώνια,-,,-
Αστεροειδής γλυκάνισος,Celery,-,-
Αυγό,Eggs,,Eggs
Αχλάδι,-,,-
Βαλσάμικο,Sulphites,,Sulphites
Βαλσάμικο ξύδι,Sulphites,,Sulphites
Βασιλικός,-,,-
Βερίκοκο,-,,-
Βούτυρο,Milk,,Milk
Βούτυρο αμυγδάλου,Tree nuts,,Tree nuts
Βούτυρο κάσιους,Tree nuts,,Tree nuts
Βούτυρο φουντουκιού,Tree nuts,,Tree nuts
Βρώμη,Gluten,,Gluten
Γάλα,Milk,,Milk
Γάλα αμυγδάλου,Tree nuts,,Tree nuts
Γάλα βρώμης,Gluten,,Gluten
Γάλα καρύδας,-,Tree nuts,Tree nuts
Γάλα σόγιας,Soy,,Soy
Γαλοπούλα,-,,-
Γαλοπούλα βραστή,"Milk, Sulphites, Mustard, Celery, Soy",,"Milk, Sulphites, Mustard, Celery, Soy"
Γαρίδα,"Molluscs, Shellfish",,"Molluscs, Shellfish"
Γιαούρτι,Milk,,Milk
Γίγαντες,-,,-
Γλυκοπατάτα,-,,-
Γραβιέρα light,Milk,,Milk
Δαμάσκηνα,Sulphites,-,-
Δενδρολίβανο,-,,-
Δυόσμος,-,,-
Ελαιόλαδο,-,,-
Ελιά,-,,-
Ζάχαρη Καρύδας,-,,-
Ζαχαροκάλαμο,-,Sulfites,Sulfites
Ζυμαρικό,Gluten,,Gluten
Ζωμός βοδινός,Celery,,Celery
Ζωμός κοτόπουλου,Celery,,Celery
Ζωμός λαχανικών,Celery,,Celery
Ηλιέλαιο,-,,-
Ηλιόσπορος,-,,-
Θυμάρι,-,,-
Ινδοκάρυδο,-,Tree nuts,Tree nuts
Κακάο,-,,-
Καλαμπόκι,-,,-
Κανέλα,-,,-
Κάπαρη,-,,-
Καραμέλα,-,"Milk, Soy","Milk, Soy"
Καρότο,-,,-
Καρπούζι,-,,-
Κάρυ,"Celery, Mustard",,"Celery, Mustard"
Καρύδα,-,Tree nuts,Tree nuts
Καρύδι,Tree nuts,,Tree nuts
Καρύδι pecan,Tree nuts,,Tree nuts
Κάσιους,Tree nuts,,Tree nuts
Καστανή ζάχαρη,-,,-
Κάστανο,Tree nuts,,Tree nuts
Κατίκι,Milk,,Milk
Κατσικίσιο τυρί,Milk,,Milk
Κινόα,-,,-
Κίτρινη πιπεριά,Celery,-,-
Κόκκινα φασόλια,-,,-
Κόκκινη πιπεριά,-,,-
Κόκορας,-,,-
Κόλιανδρος,Celery,,Celery
Κολοκύθα,-,,-
Κολοκύθι,-,,-
Κολοκυθόσπορος,-,,-
Κοτόπουλο,-,,-
Κουκουνάρι,Tree nuts,,Tree nuts
Κουνουπίδι,-,,-
Κουρκουμάς,-,,-
Κους κους,Gluten,,Gluten
Κρέμα καρύδας,-,,-
Κρεμμύδι,-,,-
Κρίταμος,-,,-
Κρουτόν,Gluten,,Gluten
Κύμινο,Celery,,Celery
Λάδι καρύδας,Tree nuts,,Tree nuts
Λαχανίδα,-,,-
Λαχανικά,-,,-
Λαχανικά ψητά,Eggplant,,Eggplant
Λάχανο,Mustard,-,-
Λάχανο κόκκινο,-,,-
Λεμόνι,-,,-
Λευκή ζάχαρη,-,,-
Λευκή σοκολάτα,"Milk, Soy",,"Milk, Soy"
Λιαστή ντομάτα,Sulphites,,Sulphites
Λιναρόσπορος,-,,-
Μirin,-,"Soy, Gluten","Soy, Gluten"
Μαγιονέζα light,Eggs,"Eggs, Mustard, Soy, Gluten, Milk","Eggs, Mustard, Soy, Gluten, Milk"
Μαγιονέζα vegan,"Mustard, Soy",,"Mustard, Soy"
Μαϊντανός,-,Celery,Celery
Μάνγκο,"Tree nuts, Celery, Peanuts",-,-
Μανιτάρι,-,,-
Μανούρι,Milk,,Milk
Μανταρίνι,-,,-
Μαρμελάδα βύσσινο χωρίς ζάχαρη,Gluten,-,-
Μαρμελάδα φράουλα χωρίς ζάχαρη,-,,-
Μαρούλι,-,,-
Μαύρα φασόλια,-,,-
Μαύρη σοκολάτα,"Soy, Milk, Tree nuts, Peanuts",,"Soy, Milk, Tree nuts, Peanuts"
Μαύρο καρότο,-,,-
Μαύρο τσάι,-,,-
Μαυρομάτικα φασόλια,-,,-
Μέλι,-,,-
Μελιτζάνα,Eggplant,,Eggplant
Μέντα,-,,-
Μήλο,-,,-
Μήλο πράσινο,-,,-
Μηλόξυδο,-,,-
Μοσχάρι,-,,-
Μοσχοκάρυδο,-,,-
Μοτσαρέλα,Milk,,Milk
Μουστάρδα,Mustard,,Mustard
Μπακαλιάρος,Fish,,Fish
Μπάμιες,-,,-
Μπανάνα,-,,-
Μπισκότο χωρίς ζάχαρη,Gluten,"Gluten, Milk, Eggs, Soy","Gluten, Milk, Eggs, Soy"
Μπούκοβο,-,,-
Μπρόκολο,Mustard,-,-
Ντομάτα,-,,-
Ντοματίνια,-,,-
Ξύδι,Sulphites,,Sulphites
Ξύδι ρυζιού,"Gluten, Sulphites",,"Gluten, Sulphites"
Παντζάρι,Sulphites,-,-
Παξιμάδι χαρουπιού,Gluten,,Gluten
Παπάγια,-,,-
Παπαρουνόσπορος,"Mustard, Tree nuts, Sesame",-,-
Πάπρικα,-,,-
Παρμεζάνα,Milk,,Milk
Πασατέμπος,-,,-
Πάστα χαρίσα,Sulphites,,Sulphites
Παστέλι,Sesame,,Sesame
Πατάτα,-,,-
Πέστροφα,Fish,,Fish
Πιπεριά,-,,-
Πιπεριά φλωρίνης,-,,-
Πλιγούρι,Gluten,,Gluten
Πορτοκάλι,-,,-
Πορτοκαλί πιπεριά,Celery,-,-
Πράσινη πιπεριά,-,,-
Πράσο,Sulphites,-,-
Πρωτεΐνη αρακά,-,,-
Ραπανάκι,Mustard,-,-
Ρεβίθια,-,,-
Ρίγανη,-,,-
Ρικότα,Milk,,Milk
Ρόδι,-,,-
Ρόκα,-,,-
Ρύζι,-,,-
Σάλτσα ντομάτας,-,,-
Σέλερι,Celery,,Celery
Σελινόριζα,Celery,,Celery
Σησαμέλαιο,Sesame,,Sesame
Σιρόπι αγαύης,-,,-
Σιρόπι σφενδάμου,-,,-
Σκόρδο,-,,-
Σόγια,Soy,,Soy
Σόδα,-,,-
Σοκολάτα,"Milk, Gluten, Tree nuts, Soy, Peanuts","Milk, Soy","Milk, Soy"
Σολομός,Fish,,Fish
Σολομός καπνιστός,Fish,,Fish
Σουμάκ,-,,-
Σουπιά,Molluscs,,Molluscs
Σουσάμι,Sesame,,Sesame
Σπανάκι,-,,-
Σπόροι chia,"Mustard, Tree nuts, Sesame",-,-
Σπόροι κάνναβης,Tree nuts,,Tree nuts
Σταγόνες μαύρης σοκολάτας,"Milk, Soy",,"Milk, Soy"
Σταφίδα,Sulphites,-,-
Σύκο,-,,-
Σχοινόπρασο,Sulphites,-,-
Ταραμάς,"Fish, Gluten","Fish, Gluten, Sulphites","Fish, Gluten, Sulphites"
Ταχίνι,Sesame,,Sesame
Τόνος,Fish,,Fish
Τορτίγια,Gluten,"Gluten, Eggs, Milk","Gluten, Eggs, Milk"
Τόφου,Soy,,Soy
Τυρί κίτρινο light,Milk,,Milk
Τυρί κρέμα,Milk,,Milk
Τυρί κρέμα light,Milk,,Milk
Φάβα,-,,-
Φαγόπυρο,-,,-
Φακή,-,,-
Φαλάφελ,"Gluten, Sesame",,"Gluten, Sesame"
Φασολάκια,-,,-
Φασόλια,-,,-
Φέτα,Milk,,Milk
Φέτα light,Milk,,Milk
Φινόκιο,-,,-
Φουντούκι,Tree nuts,,Tree nuts
Φράουλα,-,,-
Φρέσκια μοτσαρέλα,Milk,,Milk
Φρέσκο κρεμμυδάκι,-,,-
Φρούτα του δάσους,-,,-
Φρούτο,-,,-
Φρυγανιά,Gluten,,Gluten
Φύλλο ολικής,Gluten,"Gluten, Eggs, Milk","Gluten, Eggs, Milk"
Φυλλώδη πράσινα λαχανικά,-,,-
Φυστίκι,Peanuts,,Peanuts
Φυστίκι Αιγίνης,Tree nuts,,Tree nuts
Φυστικοβούτυρο,Peanuts,,Peanuts
Φύτρες,-,,-
Χοιρινό,-,,-
Χόρτα,-,,-
Χούμους,Sesame,,Sesame
Χουρμάδες,-,,-
Χταπόδι,Molluscs,,Molluscs
Χυλοπίτες,"Gluten, Eggs, Milk",,"Gluten, Eggs, Milk"
Χυμός yuzu,Sulphites,-,-
Χυμός γκρέιπφρουτ,-,,-
Χυμός λεμονιού,-,,-
Χυμός μήλου,-,,-
Χυμός πορτοκαλιού,-,,-
Ψάρι,Fish,,Fish
Ψαρονέφρι,-,,-
Ψωμί,Gluten,,Gluten
Ψωμί brioche,"Eggs, Milk, Gluten",,"Eggs, Milk, Gluten"
