Σκόρδο	Garlic
Χυμός yuzu	Yuzu juice
Χυμός γκρέιπφρουτ	Grapefruit juice
Γραβιέρα light	Light graviera
Μπούκοβο	Chilli flakes
Βούτυρο	Butter
Φαγόπυρο	Buckwheat
Βαλσάμικο ξύδι	Balsamic vinegar
Παρμεζάνα	Parmesan
Φυστίκι	Peanut
Καρύδα	Coconut
Φουντούκι	Hazelnut
Σύκο	Fig
Βερίκοκο	Apricot
Φυστικοβούτυρο	Peanut butter
Ρόκα	Rocket
Γάλα σόγιας	Soy milk
Χούμους	Hummus
Κους κους	Couscous
Κουκουνάρι	Pine nuts
Λιαστή ντομάτα	Sun-dried tomato
Μαυρομάτικα φασόλια	Black-eyed beans
Λευκή ζάχαρη	White sugar
Ζωμός βοδινός	Beef stock
Σολομός καπνιστός	Smoked salmon
Μπισκότο χωρίς ζάχαρη	Sugar-free biscuit
Μέντα	Mint
Καρύδι pecan	Pecan
Ψωμί brioche	Brioche bread
Φρέσκια μοτσαρέλα	Fresh mozzarella
Φαλάφελ	Falafel
Κόκκινα φασόλια	Red kidney beans
Φασόλια	Beans
Λευκή σοκολάτα	White chocolate
Ζάχαρη Καρύδας	Coconut sugar
Σταφίδα	Raisin
Ρόδι	Pomegranate
Σιρόπι σφενδάμου	Maple syrup
Ανανά	Pineapple
Κρέμα καρύδας	Coconut cream
Σησαμέλαιο	Sesame oil
Αλεύρι αμυγδάλου	Almond flour
Λάδι καρύδας	Coconut oil
Μαγιονέζα vegan	Vegan mayonnaise
Ραπανάκι	Radish
Γαρίδα	Prawn
Κίτρινη πιπεριά	Yellow pepper
Κατσικίσιο τυρί	Goat cheese
Χταπόδι	Octopus
Μαύρα φασόλια	Black beans
Μανούρι	Manouri cheese
Άμυλο πατάτας	Potato starch
Bagel ζέας	Spelt bagel
Φύτρες	Sprouts
Παπαρουνόσπορος	Poppy seeds
Flakes καρύδας	Coconut flakes
Φρούτα του δάσους	Forest fruits
Ινδοκάρυδο	Desiccated coconut
Μαύρο καρότο	Black carrot
Σοκολάτα	Chocolate
Καραμέλα	Caramel
Noodles Ρυζιού	Rice noodles
Ακτινίδιο	Kiwi
Φύλλο ολικής	Wholegrain filo
Πάστα χαρίσα	Harissa paste
Πορτοκαλί πιπεριά	Orange pepper
Φασολάκια	Green beans
Σουπιά	Cuttlefish
Μοτσαρέλα	Mozzarella
Jalapeños πιπεριά	Jalapeño pepper
Λαχανικά ψητά	Roasted vegetables
Μπακαλιάρος	Cod
Πασατέμπος	Roasted pumpkin seeds
Πέστροφα	Trout
Φέτα	Feta
Χοιρινό	Pork
Δαμάσκηνα	Prunes
Μοσχοκάρυδο	Nutmeg
Αντζούγια	Anchovy
Γάλα καρύδας	Coconut milk
Σιρόπι αγαύης	Agave syrup
Πρωτεΐνη αρακά	Pea protein
Παπάγια	Papaya
Μαρμελάδα βύσσινο χωρίς ζάχαρη	Sugar-free sour cherry jam
Μαύρο τσάι	Black tea
Άρωμα ροδάκινο	Peach flavouring
Ζαχαροκάλαμο	Cane sugar
Βούτυρο αμυγδάλου	Almond butter
Μαρμελάδα φράουλα χωρίς ζάχαρη	Sugar-free strawberry jam
Αρώνια	Aronia
Αστεροειδής γλυκάνισος	Star anise
Λαχανίδα	Collard greens
Χυμός μήλου	Apple juice
Κουρκουμάς	Turmeric
Καστανή ζάχαρη	Brown sugar
Αλεύρι ολικής άλεσης	Wholemeal flour
Chutney κρεμμυδιού	Onion chutney
Βούτυρο κάσιους	Cashew butter
Αμύγδαλο φιλέ	Flaked almonds
Βούτυρο φουντουκιού	Hazelnut butter
Γίγαντες	Giant beans
Χυλοπίτες	Hilopites pasta
Κόκορας	Rooster
Ρικότα	Ricotta
Σάλτσα ντομάτας	Tomato sauce
Ταραμάς	Taramas
Αντίδια	Endives
Μανταρίνι	Mandarin
Αχλάδι	Pear
Παστέλι	Pasteli sesame bar
Σουμάκ	Sumac
Chipotle Chilli πάστα	Chipotle chilli paste
Καρπούζι	Watermelon
Φάβα	Fava split peas
Φινόκιο	Fennel
Αγκινάρα	Artichoke
Κολοκύθα	Pumpkin
Κάστανο	Chestnut
Κρίταμος	Rock samphire
Μήλο πράσινο	Green apple
Τυρί κρέμα	Cream cheese
Σόδα	Baking soda
Μπάμιες	Okra
Μirin	Mirin
Άμυλο καλαμποκιού	Corn starch
Πιπεριά φλωρίνης	Florina pepper
